county,precinct,office,district,party,candidate,votes
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,,Election,1048
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,DEM,Democratic Party,248
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,REP,Republican Party,457
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,LIB,Libertarian Party,4
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,WCP,Working Class Party,1
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,GRN,Green Party,0
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,NLP,Natural Law Party,0
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,,Cast Votes,710
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,,Undervotes,673
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,,Absentee,659
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,,Election,724
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,DEM,Democratic Party,175
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,REP,Republican Party,321
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,LIB,Libertarian Party,2
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,WCP,Working Class Party,1
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,GRN,Green Party,0
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,NLP,Natural Law Party,1
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,,Cast Votes,500
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,,Undervotes,411
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,,Absentee,430
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,,Election,481
Livingston,"City of Brighton, Precinct 1",Straight Party,,,Total,1302
Livingston,"City of Brighton, Precinct 2",Straight Party,,,Total,977
Livingston,"City of Brighton, Precinct 3",Straight Party,,,Total,1241
Livingston,"City of Brighton, Precinct 4",Straight Party,,,Total,977
Livingston,"City of Howell, Precinct 1",Straight Party,,,Total,1584
Livingston,"City of Howell, Precinct 2",Straight Party,,,Total,1187
Livingston,"City of Howell, Precinct 3",Straight Party,,,Total,1580
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,,Total,1355
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,,Total,1090
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,,Total,1247
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,,Total,1056
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,,Total,684
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,,Total,1880
Livingston,"Brighton Charter Township,Precinct 7",Straight Party,,,Total,1383
Livingston,"Brighton Charter Township,Precinct 8",Straight Party,,,Total,911
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,DEM,Democratic Party,404
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,REP,Republican Party,628
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,LIB,Libertarian Party,8
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,WCP,Working Class Party,2
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,GRN,Green Party,0
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,NLP,Natural Law Party,0
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,,Cast Votes,1042
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,,Undervotes,998
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,,Absentee,1073
Livingston,"Brighton Charter Township,Precinct 9",Straight Party,,,Election,968
Livingston,"Cohoctah Township, Precinct1",Straight Party,,DEM,Democratic Party,261
Livingston,"Cohoctah Township, Precinct1",Straight Party,,REP,Republican Party,763
Livingston,"Cohoctah Township, Precinct1",Straight Party,,LIB,Libertarian Party,8
Livingston,"Cohoctah Township, Precinct1",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"Cohoctah Township, Precinct1",Straight Party,,WCP,Working Class Party,3
Livingston,"Cohoctah Township, Precinct1",Straight Party,,GRN,Green Party,1
Livingston,"Cohoctah Township, Precinct1",Straight Party,,NLP,Natural Law Party,1
Livingston,"Cohoctah Township, Precinct1",Straight Party,,,Cast Votes,1038
Livingston,"Cohoctah Township, Precinct1",Straight Party,,,Undervotes,823
Livingston,"Cohoctah Township, Precinct1",Straight Party,,,Overvotes,0
Livingston,"Cohoctah Township, Precinct1",Straight Party,,,Rejected,0
Livingston,"Cohoctah Township, Precinct1",Straight Party,,,Unassigned,0
Livingston,"Cohoctah Township, Precinct1",Straight Party,,,Absentee,682
Livingston,"Cohoctah Township, Precinct1",Straight Party,,,Election,1179
Livingston,"Conway Township, Precinct 1",Straight Party,,DEM,Democratic Party,236
Livingston,"Conway Township, Precinct 1",Straight Party,,REP,Republican Party,735
Livingston,"Conway Township, Precinct 1",Straight Party,,LIB,Libertarian Party,7
Livingston,"Conway Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,3
Livingston,"Conway Township, Precinct 1",Straight Party,,WCP,Working Class Party,2
Livingston,"Conway Township, Precinct 1",Straight Party,,GRN,Green Party,1
Livingston,"Conway Township, Precinct 1",Straight Party,,NLP,Natural Law Party,1
Livingston,"Conway Township, Precinct 1",Straight Party,,,Cast Votes,985
Livingston,"Conway Township, Precinct 1",Straight Party,,,Undervotes,887
Livingston,"Conway Township, Precinct 1",Straight Party,,,Overvotes,0
Livingston,"Conway Township, Precinct 1",Straight Party,,,Rejected,0
Livingston,"Conway Township, Precinct 1",Straight Party,,,Unassigned,0
Livingston,"Conway Township, Precinct 1",Straight Party,,,Absentee,580
Livingston,"Conway Township, Precinct 1",Straight Party,,,Election,1292
Livingston,"Deerfield Township, Precinct 1",Straight Party,,DEM,Democratic Party,205
Livingston,"Deerfield Township, Precinct 1",Straight Party,,REP,Republican Party,415
Livingston,"Deerfield Township, Precinct 1",Straight Party,,LIB,Libertarian Party,3
Livingston,"Deerfield Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Deerfield Township, Precinct 1",Straight Party,,WCP,Working Class Party,1
Livingston,"Deerfield Township, Precinct 1",Straight Party,,GRN,Green Party,2
Livingston,"Deerfield Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0
Livingston,"Deerfield Township, Precinct 1",Straight Party,,,Cast Votes,626
Livingston,"Deerfield Township, Precinct 1",Straight Party,,,Undervotes,503
Livingston,"Deerfield Township, Precinct 1",Straight Party,,,Overvotes,0
Livingston,"Deerfield Township, Precinct 1",Straight Party,,,Rejected,0
Livingston,"Deerfield Township, Precinct 1",Straight Party,,,Unassigned,0
Livingston,"Deerfield Township, Precinct 1",Straight Party,,,Absentee,417
Livingston,"Deerfield Township, Precinct 1",Straight Party,,,Election,712
Livingston,"Deerfield Township, Precinct 2",Straight Party,,DEM,Democratic Party,167
Livingston,"Deerfield Township, Precinct 2",Straight Party,,REP,Republican Party,511
