county,precinct,office,district,party,candidate,votes
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,REP,Kristina Elaine Karamo,1033
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,LIB,Gregory Scott Stempfle,32
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,UST,Christine C. Schwartz,6
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,GRN,Larry James Hutchinson Jr.,7
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,,Cast Votes,2003
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,,Undervotes,37
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,,Absentee,1073
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,,Election,968
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,,Total,2041
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,DEM,Jocelyn Benson,615
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,REP,Kristina Elaine Karamo,1158
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,LIB,Gregory Scott Stempfle,31
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,UST,Christine C. Schwartz,14
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,GRN,Larry James Hutchinson Jr.,3
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,,Cast Votes,1821
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,,Undervotes,39
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,,Overvotes,1
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,,Rejected,0
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,,Unassigned,0
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,,Absentee,682
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,,Election,1179
Livingston,"Cohoctah Township, Precinct1",Secretary of State,,,Total,1861
Livingston,"Conway Township, Precinct 1",Secretary of State,,DEM,Jocelyn Benson,591
Livingston,"Conway Township, Precinct 1",Secretary of State,,REP,Kristina Elaine Karamo,1189
Livingston,"Conway Township, Precinct 1",Secretary of State,,LIB,Gregory Scott Stempfle,36
Livingston,"Conway Township, Precinct 1",Secretary of State,,UST,Christine C. Schwartz,11
Livingston,"Conway Township, Precinct 1",Secretary of State,,GRN,Larry James Hutchinson Jr.,12
Livingston,"Conway Township, Precinct 1",Secretary of State,,,Cast Votes,1839
Livingston,"Conway Township, Precinct 1",Secretary of State,,,Undervotes,32
Livingston,"Conway Township, Precinct 1",Secretary of State,,,Overvotes,0
Livingston,"Conway Township, Precinct 1",Secretary of State,,,Rejected,1
Livingston,"Conway Township, Precinct 1",Secretary of State,,,Unassigned,0
Livingston,"Conway Township, Precinct 1",Secretary of State,,,Absentee,580
Livingston,"Conway Township, Precinct 1",Secretary of State,,,Election,1292
Livingston,"Conway Township, Precinct 1",Secretary of State,,,Total,1872
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,DEM,Jocelyn Benson,420
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,REP,Kristina Elaine Karamo,665
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,LIB,Gregory Scott Stempfle,14
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,UST,Christine C. Schwartz,4
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,GRN,Larry James Hutchinson Jr.,1
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,,Cast Votes,1104
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,,Undervotes,25
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,,Overvotes,0
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,,Rejected,0
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,,Unassigned,0
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,,Absentee,417
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,,Election,712
Livingston,"Deerfield Township, Precinct 1",Secretary of State,,,Total,1129
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,DEM,Jocelyn Benson,399
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,REP,Kristina Elaine Karamo,808
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,LIB,Gregory Scott Stempfle,20
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,UST,Christine C. Schwartz,10
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,GRN,Larry James Hutchinson Jr.,6
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,,Cast Votes,1243
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,,Undervotes,16
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,,Overvotes,2
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,,Rejected,0
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,,Unassigned,0
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,,Absentee,426
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,,Election,835
Livingston,"Deerfield Township, Precinct 2",Secretary of State,,,Total,1261
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,DEM,Jocelyn Benson,595
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,REP,Kristina Elaine Karamo,657
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,LIB,Gregory Scott Stempfle,16
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,UST,Christine C. Schwartz,7
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,GRN,Larry James Hutchinson Jr.,2
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,,Cast Votes,1277
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,,Undervotes,24
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,,Absentee,571
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,,Election,730
Livingston,"Genoa Charter Township,Precinct 1",Secretary of State,,,Total,1301
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,DEM,Jocelyn Benson,283
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,REP,Kristina Elaine Karamo,303
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,LIB,Gregory Scott Stempfle,7
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,UST,Christine C. Schwartz,5
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,GRN,Larry James Hutchinson Jr.,3
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,,Cast Votes,601
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,,Undervotes,8
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,,Absentee,204
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,,Election,406
Livingston,"Genoa Charter Township,Precinct 2",Secretary of State,,,Total,610
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,DEM,Jocelyn Benson,579
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,REP,Kristina Elaine Karamo,592
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,LIB,Gregory Scott Stempfle,19
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,UST,Christine C. Schwartz,8
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,GRN,Larry James Hutchinson Jr.,12
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,,Cast Votes,1210
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,,Undervotes,17
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,,Unassigned,0
