county,precinct,office,district,party,candidate,votes
Iosoco,Oscoda Township Precinct 2,Governor,,LIB,Mary Buzuma,3
Iosoco,Oscoda Township Precinct 3,Governor,,LIB,Mary Buzuma,10
Iosoco,Oscoda Township Precinct 4,Governor,,LIB,Mary Buzuma,8
Iosoco,Plainfield Township Precinct 1,Governor,,LIB,Mary Buzuma,3
Iosoco,Plainfield Township Precinct 2,Governor,,LIB,Mary Buzuma,8
Iosoco,Reno Township Precinct 1,Governor,,LIB,Mary Buzuma,4
Iosoco,Sherman Township Precinct 1,Governor,,LIB,Mary Buzuma,1
Iosoco,Tawas Township Precinct 1,Governor,,LIB,Mary Buzuma,5
Iosoco,Wilber Township Precinct 1,Governor,,LIB,Mary Buzuma,5
Iosoco,Total,Governor,,LIB,Mary Buzuma,95
Iosoco,Alabaster Township Precinct 1,Governor,,UST,Donna Brandenburg,2
Iosoco,AuSable Township Precinct 1,Governor,,UST,Donna Brandenburg,5
Iosoco,Baldwin Township Precinct 1,Governor,,UST,Donna Brandenburg,1
Iosoco,Burleigh Township Precinct 1,Governor,,UST,Donna Brandenburg,2
Iosoco,City of East Tawas Precinct 1,Governor,,UST,Donna Brandenburg,7
Iosoco,City of Tawas City Precinct 1,Governor,,UST,Donna Brandenburg,6
Iosoco,City of Whittemore Precinct 1,Governor,,UST,Donna Brandenburg,1
Iosoco,Grant Township Precinct 1,Governor,,UST,Donna Brandenburg,5
Iosoco,Oscoda Township Precinct 1,Governor,,UST,Donna Brandenburg,5
Iosoco,Oscoda Township Precinct 2,Governor,,UST,Donna Brandenburg,3
Iosoco,Oscoda Township Precinct 3,Governor,,UST,Donna Brandenburg,2
Iosoco,Oscoda Township Precinct 4,Governor,,UST,Donna Brandenburg,3
Iosoco,Plainfield Township Precinct 1,Governor,,UST,Donna Brandenburg,3
Iosoco,Plainfield Township Precinct 2,Governor,,UST,Donna Brandenburg,13
Iosoco,Reno Township Precinct 1,Governor,,UST,Donna Brandenburg,3
Iosoco,Sherman Township Precinct 1,Governor,,UST,Donna Brandenburg,1
Iosoco,Tawas Township Precinct 1,Governor,,UST,Donna Brandenburg,4
Iosoco,Wilber Township Precinct 1,Governor,,UST,Donna Brandenburg,3
Iosoco,Total,Governor,,UST,Donna Brandenburg,69
Iosoco,Alabaster Township Precinct 1,Governor,,GRE,Kevin Hogan,1
Iosoco,AuSable Township Precinct 1,Governor,,GRE,Kevin Hogan,3
Iosoco,Baldwin Township Precinct 1,Governor,,GRE,Kevin Hogan,4
Iosoco,Burleigh Township Precinct 1,Governor,,GRE,Kevin Hogan,1
Iosoco,City of East Tawas Precinct 1,Governor,,GRE,Kevin Hogan,1
Iosoco,City of Tawas City Precinct 1,Governor,,GRE,Kevin Hogan,8
Iosoco,City of Whittemore Precinct 1,Governor,,GRE,Kevin Hogan,0
Iosoco,Grant Township Precinct 1,Governor,,GRE,Kevin Hogan,2
Iosoco,Oscoda Township Precinct 1,Governor,,GRE,Kevin Hogan,4
Iosoco,Oscoda Township Precinct 2,Governor,,GRE,Kevin Hogan,0
Iosoco,Oscoda Township Precinct 3,Governor,,GRE,Kevin Hogan,4
Iosoco,Oscoda Township Precinct 4,Governor,,GRE,Kevin Hogan,6
Iosoco,Plainfield Township Precinct 1,Governor,,GRE,Kevin Hogan,5
Iosoco,Plainfield Township Precinct 2,Governor,,GRE,Kevin Hogan,6
Iosoco,Reno Township Precinct 1,Governor,,GRE,Kevin Hogan,2
Iosoco,Sherman Township Precinct 1,Governor,,GRE,Kevin Hogan,1
Iosoco,Tawas Township Precinct 1,Governor,,GRE,Kevin Hogan,5
Iosoco,Wilber Township Precinct 1,Governor,,GRE,Kevin Hogan,1
Iosoco,Total,Governor,,GRE,Kevin Hogan,54
Iosoco,Alabaster Township Precinct 1,Governor,,NAL,Daryl M. Simpson,1
Iosoco,AuSable Township Precinct 1,Governor,,NAL,Daryl M. Simpson,1
Iosoco,Baldwin Township Precinct 1,Governor,,NAL,Daryl M. Simpson,5
Iosoco,Burleigh Township Precinct 1,Governor,,NAL,Daryl M. Simpson,0
Iosoco,City of East Tawas Precinct 1,Governor,,NAL,Daryl M. Simpson,7
Iosoco,City of Tawas City Precinct 1,Governor,,NAL,Daryl M. Simpson,2
Iosoco,City of Whittemore Precinct 1,Governor,,NAL,Daryl M. Simpson,2
Iosoco,Grant Township Precinct 1,Governor,,NAL,Daryl M. Simpson,0
Iosoco,Oscoda Township Precinct 1,Governor,,NAL,Daryl M. Simpson,2
Iosoco,Oscoda Township Precinct 2,Governor,,NAL,Daryl M. Simpson,1
Iosoco,Oscoda Township Precinct 3,Governor,,NAL,Daryl M. Simpson,2
Iosoco,Oscoda Township Precinct 4,Governor,,NAL,Daryl M. Simpson,3
Iosoco,Plainfield Township Precinct 1,Governor,,NAL,Daryl M. Simpson,0
Iosoco,Plainfield Township Precinct 2,Governor,,NAL,Daryl M. Simpson,2
Iosoco,Reno Township Precinct 1,Governor,,NAL,Daryl M. Simpson,1
Iosoco,Sherman Township Precinct 1,Governor,,NAL,Daryl M. Simpson,1
Iosoco,Tawas Township Precinct 1,Governor,,NAL,Daryl M. Simpson,3
Iosoco,Wilber Township Precinct 1,Governor,,NAL,Daryl M. Simpson,3
Iosoco,Total,Governor,,NAL,Daryl M. Simpson,36
Iosoco,Alabaster Township Precinct 1,Governor,,Write-in,Write-in,0
Iosoco,AuSable Township Precinct 1,Governor,,Write-in,Write-in,0
Iosoco,Baldwin Township Precinct 1,Governor,,Write-in,Write-in,0
Iosoco,Burleigh Township Precinct 1,Governor,,Write-in,Write-in,1
Iosoco,City of East Tawas Precinct 1,Governor,,Write-in,Write-in,4
Iosoco,City of Tawas City Precinct 1,Governor,,Write-in,Write-in,3
Iosoco,City of Whittemore Precinct 1,Governor,,Write-in,Write-in,0
Iosoco,Grant Township Precinct 1,Governor,,Write-in,Write-in,1
Iosoco,Oscoda Township Precinct 1,Governor,,Write-in,Write-in,1
Iosoco,Oscoda Township Precinct 2,Governor,,Write-in,Write-in,0
Iosoco,Oscoda Township Precinct 3,Governor,,Write-in,Write-in,0
Iosoco,Oscoda Township Precinct 4,Governor,,Write-in,Write-in,0
Iosoco,Plainfield Township Precinct 1,Governor,,Write-in,Write-in,1
Iosoco,Plainfield Township Precinct 2,Governor,,Write-in,Write-in,1
Iosoco,Reno Township Precinct 1,Governor,,Write-in,Write-in,0
Iosoco,Sherman Township Precinct 1,Governor,,Write-in,Write-in,1
Iosoco,Tawas Township Precinct 1,Governor,,Write-in,Write-in,0
Iosoco,Wilber Township Precinct 1,Governor,,Write-in,Write-in,0
Iosoco,Total,Governor,,Write-in,Write-in,13
Iosoco,Alabaster Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,122
Iosoco,AuSable Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,428
Iosoco,Baldwin Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,385
Iosoco,Burleigh Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,108
Iosoco,City of East Tawas Precinct 1,Secretary of State,,DEM,Jocelyn Benson,649
Iosoco,City of Tawas City Precinct 1,Secretary of State,,DEM,Jocelyn Benson,358
Iosoco,City of Whittemore Precinct 1,Secretary of State,,DEM,Jocelyn Benson,52
Iosoco,Grant Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,344
Iosoco,Oscoda Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,512
Iosoco,Oscoda Township Precinct 2,Secretary of State,,DEM,Jocelyn Benson,155
Iosoco,Oscoda Township Precinct 3,Secretary of State,,DEM,Jocelyn Benson,381
Iosoco,Oscoda Township Precinct 4,Secretary of State,,DEM,Jocelyn Benson,418
Iosoco,Plainfield Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,269
Iosoco,Plainfield Township Precinct 2,Secretary of State,,DEM,Jocelyn Benson,520
Iosoco,Reno Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,109
Iosoco,Sherman Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,74
Iosoco,Tawas Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,297
Iosoco,Wilber Township Precinct 1,Secretary of State,,DEM,Jocelyn Benson,184
Iosoco,Total,Secretary of State,,DEM,Jocelyn Benson,5365
Iosoco,Alabaster Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,184
Iosoco,AuSable Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,525
Iosoco,Baldwin Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,473
Iosoco,Burleigh Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,167
Iosoco,City of East Tawas Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,721
Iosoco,City of Tawas City Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,418
Iosoco,City of Whittemore Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,86
Iosoco,Grant Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,445
Iosoco,Oscoda Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,606
Iosoco,Oscoda Township Precinct 2,Secretary of State,,REP,Kristina Elaine Karamo,223
Iosoco,Oscoda Township Precinct 3,Secretary of State,,REP,Kristina Elaine Karamo,446
Iosoco,Oscoda Township Precinct 4,Secretary of State,,REP,Kristina Elaine Karamo,422
Iosoco,Plainfield Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,355
Iosoco,Plainfield Township Precinct 2,Secretary of State,,REP,Kristina Elaine Karamo,664
Iosoco,Reno Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,160
Iosoco,Sherman Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,131
Iosoco,Tawas Township Precinct 1,Secretary of State,,REP,Kristina Elaine Karamo,584
